property_id,owner_id,name,address_query,current_lat,current_lng,geocode_status,geocode_error,suggested_lat,suggested_lng,location_type,partial_match,place_id,formatted_address,distance_km,review_reasons,,,manual_lat,manual_long
aa5cbe35-e0b3-4328-a68f-da9064911d4c,bruinplace-script-user,600 Kelton,"Los Angeles, CA 90095, CA 90024, USA",34.0689,-118.4452,OK,,34.0631451,-118.4367551,APPROXIMATE,TRUE,ChIJGSquI3y8woAR6Gd_SpR_pDY,"Los Angeles, CA 90024, USA",1.0073,location_type_APPROXIMATE;partial_match,,,34.06612614,-118.4529759
2157b97a-d0dd-48c5-a2fd-c0d715b6c878,bruinplace-script-user,Veteran Terrace,"Los Angeles, CA 90095, CA 90024, USA",34.0689,-118.4452,OK,,34.0631451,-118.4367551,APPROXIMATE,TRUE,ChIJGSquI3y8woAR6Gd_SpR_pDY,"Los Angeles, CA 90024, USA",1.0073,location_type_APPROXIMATE;partial_match,,,34.05413615,-118.4433103
cfce7aa8-554f-42bc-92eb-d0e346f57636,bruinplace-script-user,10989 Roebling Ave,"Los Angeles, CA 90095, CA 90024, USA",34.0689,-118.4452,OK,,34.0631451,-118.4367551,APPROXIMATE,TRUE,ChIJGSquI3y8woAR6Gd_SpR_pDY,"Los Angeles, CA 90024, USA",1.0073,location_type_APPROXIMATE;partial_match,,,34.06520709,-118.4496032
79175b32-7f08-497c-aa5e-85037a20a799,bruinplace-script-user,10987 Roebling Ave,"Los Angeles, CA 90095, CA 90024, USA",34.0689,-118.4452,OK,,34.0631451,-118.4367551,APPROXIMATE,TRUE,ChIJGSquI3y8woAR6Gd_SpR_pDY,"Los Angeles, CA 90024, USA",1.0073,location_type_APPROXIMATE;partial_match,,,34.06522258,-118.449658
33b7055f-674d-4037-a497-2a487cc8ce16,bruinplace-script-user,Midvale Arms,"Los Angeles, CA 90095, CA 90024, USA",34.0689,-118.4452,OK,,34.0631451,-118.4367551,APPROXIMATE,TRUE,ChIJGSquI3y8woAR6Gd_SpR_pDY,"Los Angeles, CA 90024, USA",1.0073,location_type_APPROXIMATE;partial_match,,,34.05409254,-118.4413105
2e75e5ee-96fd-4073-b82c-53aa32db4b88,bruinplace-script-user,Felix,"Los Angeles, CA 90095, CA 90024, USA",34.0689,-118.4452,OK,,34.0631451,-118.4367551,APPROXIMATE,TRUE,ChIJGSquI3y8woAR6Gd_SpR_pDY,"Los Angeles, CA 90024, USA",1.0073,location_type_APPROXIMATE;partial_match,,,,
24c3bda3-9af4-427b-8833-a50ba58e154b,bruinplace-script-user,Keystone Ave Apartments,"Los Angeles, CA 90095, CA 90024, USA",34.0689,-118.4452,OK,,34.0631451,-118.4367551,APPROXIMATE,TRUE,ChIJGSquI3y8woAR6Gd_SpR_pDY,"Los Angeles, CA 90024, USA",1.0073,location_type_APPROXIMATE;partial_match,,,34.02057582,-118.4062169
3fe6cd99-2991-4e53-95a9-62b99da7ac2c,bruinplace-script-user,10780 Rochester,"Los Angeles, CA 90095, CA 90024, USA",34.0689,-118.4452,OK,,34.0631451,-118.4367551,APPROXIMATE,TRUE,ChIJGSquI3y8woAR6Gd_SpR_pDY,"Los Angeles, CA 90024, USA",1.0073,location_type_APPROXIMATE;partial_match,,,34.0572739,-118.4385734
fd264e37-1326-441d-b841-341bea59d88b,bruinplace-script-user,Bellwood Apartments,"Los Angeles, CA 90095, CA 90024, USA",34.0689,-118.4452,OK,,34.0631451,-118.4367551,APPROXIMATE,TRUE,ChIJGSquI3y8woAR6Gd_SpR_pDY,"Los Angeles, CA 90024, USA",1.0073,location_type_APPROXIMATE;partial_match,,,34.18185347,-118.5553695
1b65bc13-d007-43fd-994c-b2b4969a63f0,bruinplace-script-user,Brent Manor Apartments,"Los Angeles, CA 90095, CA 90024, USA",34.0689,-118.4452,OK,,34.0631451,-118.4367551,APPROXIMATE,TRUE,ChIJGSquI3y8woAR6Gd_SpR_pDY,"Los Angeles, CA 90024, USA",1.0073,location_type_APPROXIMATE;partial_match,,,34.04980225,-118.4584172
2034b2f4-4f33-4a58-8eab-5fe75a9532fa,bruinplace-script-user,Woodley Condo,"Los Angeles, CA 90095, CA 90024, USA",34.0689,-118.4452,OK,,34.0631451,-118.4367551,APPROXIMATE,TRUE,ChIJGSquI3y8woAR6Gd_SpR_pDY,"Los Angeles, CA 90024, USA",1.0073,location_type_APPROXIMATE;partial_match,,,,
5ca2af3f-4f8d-4f85-8377-3d67455663b6,bruinplace-script-user,Linea Unit 100,"Los Angeles, CA 90095, CA 90024, USA",34.0689,-118.4452,OK,,34.0631451,-118.4367551,APPROXIMATE,TRUE,ChIJGSquI3y8woAR6Gd_SpR_pDY,"Los Angeles, CA 90024, USA",1.0073,location_type_APPROXIMATE;partial_match,,,34.03862765,-118.4354857
24253a89-caab-4f9a-843f-be43d41f56b5,bruinplace-script-user,12035 Wilshire Blvd,"12035 Wilshire Blvd Unit FL4-ID1060, Los Angeles, CA 90025, USA",34.0689,-118.4452,OK,,34.0453898,-118.4664367,ROOFTOP,TRUE,EjMxMjAzNSBXaWxzaGlyZSBCbHZkIGZsNCwgTG9zIEFuZ2VsZXMsIENBIDkwMDI1LCBVU0EiHxodChYKFAoSCYfPQPdcu8KAETKQ7b19a17cEgNmbDQ,"12035 Wilshire Blvd fl4, Los Angeles, CA 90025, USA",3.2652,partial_match,,,34.04554979,-118.4664582
f813d01e-a086-4472-af39-347be3751c3d,bruinplace-script-user,Laurel,"920 Weyburn Place. North Los Angeles, CA 90095, Los Angeles, CA 90095, USA",34.0689,-118.4452,OK,,34.0632459,-118.4508562,GEOMETRIC_CENTER,FALSE,ChIJeQf7YYO8woARw7j0Q5zTrsE,"Parking lot, 920 Weyburn Pl, Los Angeles, CA 90024, USA",0.8165,location_type_GEOMETRIC_CENTER,,,34.0637427,-118.4510708
cfd051bd-c9e5-436d-9da7-2299fed5db70,bruinplace-script-user,Weyburn Terrace-Aloe,"740 Weyburn Terrace Los Angeles 90024, Los Angeles, CA 90024, USA",34.0689,-118.4452,OK,,34.0635412,-118.4512659,GEOMETRIC_CENTER,FALSE,ChIJB3ASy4S8woARlzyu0OyllV8,"Aloe Court, 740 Weyburn Terrace, Los Angeles, CA 90024, USA",0.8169,location_type_GEOMETRIC_CENTER,,,34.06359432,-118.4512906
196f6121-bbbe-496f-b680-2b8421557f6a,bruinplace-script-user,Weyburn Terrace-Olive,"825 Weyburn Terrace Los Angeles 90024, Los Angeles, CA 90024, USA",34.0689,-118.4452,OK,,34.0621111,-118.450844,GEOMETRIC_CENTER,FALSE,ChIJpZj0qoS8woARcuElc9-0Y-k,"Olive Court, 825 Weyburn Terrace, Los Angeles, CA 90024, USA",0.9166,location_type_GEOMETRIC_CENTER,,,34.06216339,-118.4508432
e9b80612-0273-46a6-b380-a49c164ec19a,bruinplace-script-user,Club California,"10982 Roebling Ave., Los Angeles, CA 10982, USA",34.0689,-118.4452,OK,,34.0646055,-118.4490755,GEOMETRIC_CENTER,FALSE,ChIJmUdN5YS8woARYoSnUR8l65I,"10982 Roebling Ave, Los Angeles, CA 90024, USA",0.5962,location_type_GEOMETRIC_CENTER,,,34.06472462,-118.4490739
6aaa2563-5e22-44c5-aabf-34dd88ad727e,bruinplace-script-user,SW byCLG,"1947 Sawtelle Blvd, Los Angeles, CA 90024, USA",34.0689,-118.4452,OK,,34.0410127,-118.44433,GEOMETRIC_CENTER,FALSE,ChIJTTIdYXS7woARgsbS8l0TZBI,"1947 Sawtelle Blvd, Los Angeles, CA 90025, USA",3.102,location_type_GEOMETRIC_CENTER,,,34.04114561,-118.4443091
c4d77758-318c-4093-979d-f1f047a9b54d,bruinplace-script-user,1352 Carmelina Ave,"1352 Carmelina Ave, Los Angeles, CA 90024, USA",34.0689,-118.4452,OK,,34.039961,-118.4669613,GEOMETRIC_CENTER,FALSE,ChIJ1QIyoUO7woARUfOCN0mVWEQ,"1352 S Carmelina Ave, Los Angeles, CA 90025, USA",3.7913,location_type_GEOMETRIC_CENTER,,,34.04017858,-118.4669549
